page,text,char_count
51,"4. Emirates NBD Retail Banking
5. Emirates NBD Islamic banking
To mitigate any potential risks across retail operations, 
the Group has policies and processes that are 
customised to individual retail banking products. Given 
the extensive range of retail banking services, multiple 
teams within Emirates NBD play a role in managing risk. 
For retail liabilities, the Group implements stringent 
Know Your Customer (KYC) processes that comply with 
regulatory requirements. When it comes to retail assets, 
the Group conducts thorough credit checks that are 
developed and overseen by the GRC, tailored to various 
client-specific factors. For example, different credit 
assessment criteria are applied to salaried individuals 
compared to self-employed clients. Additionally, the 
retail portfolio is assessed for operational risks through a 
process that monitors residual risks from an operational 
perspective. Collectively, these policies and processes 
contribute to a robust risk mitigation across our retail 
portfolio.
Emirates NBD Group offers a comprehensive range of 
Shari’ah compliant products and services across the 
spectrum of personal, business and corporate banking. 
As an Islamic bank which operates in compliance with 
Shari’ah principles. It strives to contribute to society 
by promoting equitable creation of wealth and a 
prosperous economy. Shari’ah principles by their very 
nature are closely aligned with ESG principles, which 
mitigates sustainability related risk. Listed below are 
Shari’ah-aligned principles and exclusions that Emirates 
NBD adheres to:
• 
Paying or charging interest: Prohibition on all forms 
of interest (riba), which is considered unfair and 
exploitative.
• 
Investing in forbidden businesses: Prohibition 
on investing in businesses that involve activities 
considered not permissible and harmful towards the 
society in general, such as the production or sale of 
alcohol and pork.
• 
Charging extra for late payment: Charging extra for 
late payment is not permissible and generally limited 
and is used only to ensure financial discipline from 
customers and such proceeds are directed towards 
charity.
• 
Speculation and uncertainty: Contracts involving 
speculation or uncertainty (gharar) including 
conventional derivatives, options and futures, 
are restricted, as they are considered to involve 
excessive risk and foster ambiguity.
• 
Transactions lacking material finality: All transactions 
are directly linked to a real underlying economic 
transaction.
• 
Risk sharing: There is an emphasis on risk sharing, 
where the risks and returns are shared among 
participants, ensuring no disproportionate benefits 
from the transaction.
Risk management 
51
Emirates NBD Group 2024 IFRS S1 and S2 Report",2770
52,"4.5 Climate Risk Management
The integration of climate-change related risks into Emirates NBD Group’s existing risk management frameworks 
reflect a structured approach to addressing both transition and physical risks, which are evolving in nature.
These risks are managed and incorporated in our existing risk frameworks in following manner:
• 
Climate Risk Policy (CRP): Emirates NBD has introduced a CRP aimed at incorporating climate risks into its 
Group Risk Management framework. This policy establishes guidelines to improve resilience and manage 
climate risks through effective risk management practices. 
It primarily focuses on significant climate risks and their potential impacts arising from the Group’s credit 
facilities to counterparties and engagements with its vendors. The CRP applies to all Group entities, including 
the Head Office, domestic and international branches and subsidiaries, across all operational countries
• 
Governance and processes: At the highest level, relevant Board Committees receive regular updates on 
climate risk management and associated activities. These updates support informed decision-making and 
strategic adjustments, ensuring that climate risk management practices stay effective and adaptable to 
evolving conditions. 
Regulatory and Supervisory Trends: The approach to integrating climate risks considers current and 
forthcoming regulatory requirements and supervisory expectations. This ensures that the risk management 
practices align with evolving standards and regulations concerning climate risk, across the key jurisdictions 
where Emirates NBD Group has a growing presence. 
By incorporating climate-related risks into its risk management framework, Emirates NBD Group aims to 
effectively manage and mitigate the potential impacts of climate change on its operations and financial 
stability.
In the past year, the climate analysis activities were concentrated solely on Credit Risk related to lending activities, 
recognising it as a crucial area where traditional financial risk intersects with climate change effects. The Group 
performed a transition risk scenario analysis on its top 50 credit exposures within high-emission sectors. This 
analysis evaluated the potential impacts of transition-related climate risks of counterparties from these sectors 
and assessed how these risks could affect the Group’s performance. 
• 
Utilities comprising of power generation, district cooling, renewables and integrated players 
• 
Transportation covering airlines, aircraft leasing, port operators, taxi companies, toll operators and logistics
• 
Manufacturing covering fertilizer, copper, aluminium, soda ash and steel 
• 
Oil & gas
• 
Telecommunication
• 
Construction
1. Identification of climate risk across Group’s operations
Risk management 
52
Emirates NBD Group 2024 IFRS S1 and S2 Report",2864
53,"Emirates NBD has incorporated the scenarios 
prescribed by NGFS, which are in line with the suggested 
exploratory climate risk scenarios for 2030 and 2040 
time horizons as per the CBUAE guidance. Furthermore, 
they are a common feature across European Central 
Bank’s recommended practices. 
The below scenarios have been selected for ongoing 
assessment:
Current Policies (CP, +3.0°C): Baseline scenario, with 
no or little change of current policies to combat climate 
change, causing high physical risks but minimal transition 
risk with global temperature increases by more than 
three degrees; 
Delayed Transition (DT, +2.0°C): Delayed policy 
implementation creates a “Minsky Moment” with high 
transition and to some extent high physical risk; 
Net Zero 2050 (NZ, +1.5 °C): Coordinated global policy 
implementation (Paris Agreement) to combat climate 
change and limit the global temperature increase to 1.5 
degrees, implying high transition risks but low physical 
risks.
Emirates NBD included the following inputs to augment 
the NGFS scenarios: 
CBUAE variables: The CBUAE variables (where 
appropriate for the credit exposure being assessed) 
relating to Oil Prices faced by the consumer and 
Producer (converted into Oil Index), Real price of Carbon, 
Real GDP growth rates and Transportation sectoral data 
provided under various scenarios. 
Company financials and characteristics: Company-
level financial and industry data (e.g., mine-level costs 
data, power plant-level capacities and costs, airline 
fleet data) required to perform bottom-up analysis were 
2. Use of scenario analysis and data sources 
for reference
3. Data Sources
sourced from a leading climate risk market intelligence’s 
proprietary datasets used for analysis. 
Additional industry-specific data: Industry-specific 
information sourced from a leading climate risk tool 
(price, volume, unit cost, capital expenditure, asset 
value).
Greenhouse gas emissions data: Company-level Scope 
1, 2 and 3 emissions data sourced from a leading climate 
risk tool.
The Stress Testing Modelling approach detailed below 
helps identify climate-related risks and opportunities:
Incorporation of company financials: The model 
incorporates company-level financials and 
characteristics to project scenario-adjusted financial 
statements, including Income Statements, Cash Flow 
Statements and Balance Sheets. 
Application of NGFS climate scenarios: Climate 
scenario variables from the NGFS, combined with 
existing company financial data, are used to determine 
key drivers such as volume, unit cost, price, capital 
expenditure and asset value, for each company.
Integration and projection: These key drivers are 
integrated with the projected financial statements to 
estimate the company’s climate-conditioned future 
financial performance. The projections are then used to 
assess credit risk using Credit Analytics models. 
Credit ratings: The primary outputs from the model 
are credit ratings derived from Credit Analytics 
models, reflecting the impact of climate scenarios on 
creditworthiness. 
Risk assessment: The impacts on credit ratings and the 
key drivers within each climate scenario are analysed to 
evaluate risk. 
Stress testing: Risks and opportunities identified 
through scenario analysis are further evaluated to ensure 
a thorough assessment. 
Risk management 
53
Emirates NBD Group 2024 IFRS S1 and S2 Report",3414
54,"The Risk Appetite Statement was enhanced to include 
environmental and social risk including climate risk as 
well as provided a detailed qualitative disclosure in 
the 2024 ICAAP report. Since climate risk analysis is an 
evolving space, the Group plans to evaluate appropriate 
prioritisation methodologies as an outcome of stress 
testing activities and subsequent assessment of related 
capital charges.
The Group currently assesses risk materiality through the 
following mechanisms: 
• 
Environmental and social risk scorecard 
• 
Assessment of results of climate risk stress testing 
• 
Estimation of financed emissions and reduction 
pathways 
• 
Risk appetite thresholds 
To ensure a continuous and effective climate risk 
management approach, the Group incorporates climate 
risk considerations into its core decision-making bodies. 
The primary monitoring mechanism is essentially our 
Group Risk Management framework, which has now 
been integrated with climate risk aspects. 
Going forward, Emirates NBD will enhance existing 
data infrastructure in phases to achieve the following 
objectives: 
• 
Data collection and aggregation: Gather and 
consolidate climate-related risk data from portfolios 
across the entire Group. 
• 
Reporting capabilities: implement ability to develop 
reports that monitor significant climate-related 
financial risks and provide timely information to 
support effective decision-making by the board and 
senior management. 
The focus of these shall be to enhance and efficiently 
facilitate:
• 
Quarterly Risk Reporting – (reporting climate related 
metrics as defined in the Risk Appetite Statement) 
• 
Periodic stress testing outputs 
• 
Financed Emissions estimations exercise outputs on 
a periodic basis 
Although physical risk management was not addressed 
in this reporting period, the Group acknowledges its 
significance. Given the Group’s significant exposure to 
the real estate sector and the CBUAE’s strong emphasis 
on evaluating this sector for physical climate risk, these 
assessments will be particularly critical. 
As a result, the Group plans to acquire a physical risk 
assessment tool to analyse risks related to specific 
hazards, such as temperature rise, humidity rise, sea level 
rise, rainfall/floods, storms/cyclones and drought within 
its portfolio over the short, medium and long terms. 
These physical risk assessments are scheduled to be 
implemented during the 2025 Financial Year. 
 Proactive measures underscore Emirates NBD’s 
commitment to managing climate-related risks 
effectively and boosting financial resilience. The Group 
is assured that these efforts will safeguard stakeholder 
interests and advance broader sustainability objectives.
4. Risk prioritisation and periodic monitoring
Risk management 
54
Emirates NBD Group 2024 IFRS S1 and S2 Report",2840
55,"05
Metrics and
targets",22
56,"Metrics and targets
 
5.1 Overview
 
5.2 Sustainability-related metrics and targets
Under the IFRS S1 Standard, the Group is required 
to disclose a range of sustainability-related metrics 
that offer insights into its governance structures, risk 
management processes and strategic alignment 
with sustainability goals. These disclosures enable 
stakeholders to assess the Group’s resilience and 
adaptability in addressing sustainability-related 
challenges. The IFRS S2 Standard further builds on 
this requirement by mandating disclosures specific to 
climate-related risks and opportunities, with a focus on 
providing clarity regarding climate-related metrics and 
targets.
The Group’s approach is to ensure clear, comprehensive 
and standard-compliant disclosures that address 
stakeholder expectations for transparency and 
accountability. Metrics are systematically identified 
based on their relevance to the Group’s operations and 
their impact on the environment and society. Aligned 
with these metrics, the Group sets ambitious yet 
achievable targets, reflecting its commitment to driving 
measurable progress and delivering positive outcomes.
Current reporting in alignment with reference to GRI 
and SASB 
The Group reports on a suite of sustainability metrics 
that reflect its most significant impacts. Clear and 
measurable targets have been set to address key 
sustainability challenges and opportunities. Disclosures 
include current performance against targets, along 
with strategies and actions aimed at driving continuous 
improvement. To ensure transparency and reliability, 
the Group provides details on data collection 
methodologies and any changes to reporting standards 
or metrics. 
The Group is in the process of collecting data relating 
to the effects of sustainability and climate-related risks 
and opportunities on business decisions and outcomes 
across the range of its businesses and intends to 
enhance quantitative information about these factors in 
future editions of IFRS S1 and S2 – aligned reports.
The data presented in the following tables is current 
as of September 30th 2024. This will be updated in Q1 
2025 as part of the ESG data pack on the corporate 
website. 
Metrics and targets
56
Emirates NBD Group 2024 IFRS S1 and S2 Report",2289
57,"Metric
Metric Definition
2024 Value
Source
Source Emirates NBD
Mapping to Report Section
Per centage of local suppliers Per centage of local supplier engaged in procurement process
75.40%
GRI
ESG Data Package
Risk
Per centage of spending on 
local suppliers 
Per centage of spending on local suppliers 
87.80%
GRI
ESG Data Package
Risk
Board Independence
As per law, at least one-third of the Directors shall be assessed 
to be independent 
44% (four of our nine Directors on the Board are assessed to be 
independent at Emirates NBD)
Regulation/ GRI
Corporate 
Governance 
Report
Governance
Board Meeting Attendance
Participation of members of board in meeting
99%
Internal
Corporate 
Governance 
Report
Governance
Gender Diversity at Board 
Level
As per regulation, The Board shall have at least one female 
Director (Emirates NBD has one female Director)
Males: 89% (8), Females: 11% (1)
Regulation/ GRI
Corporate 
Governance 
Report
Governance
Number of Board and 
Committee Meetings 
Number of Board and Committee Meetings 
75
Internal
Corporate 
Governance 
Report
Governance
Board Nationality
As per law, The Chairman of the Board and a majority of the 
Directors shall be UAE Nationals 
All of our Board of Directors are UAE Nationals
Regulation
Corporate 
Governance 
Report
Governance
Gender Diversity at 
leadership roles
Bank is committed to UAE Gender Balance Pledge to achieve 
25% representation of women in leadership roles by 2027
18%
Internal Metric
ESG report
Risk
Share of women in total 
workforce a % of total 
workforce
 The per-centage of female employees in relation to the total 
number of employees in the organisation
40%
GRI
ESG Data Package
Risk
Total training hours delivered
The cumulative number of hours of training provided to all 
employees within the organisation over a specific period
500,881
GRI
ESG Data Package
Risk
Employee turnover rate
The employee turnover rate measures the rate at which 
employees leave a company within a certain period of time.
10%
GRI
ESG report
Risk
Number of Nationalities 
within the company (ethnic 
diversity) - Only for women 
This metric counts the number of different nationalities 
represented by the female employees within a company, 
indicating the level of ethnic diversity.
94
Internal Metric
ESG report
Risk
People of Determination 
hired (number of total 
employees)
This metric measures the number of employees with disabilities 
within the total workforce.
56
GRI
ESG report
Risk
Metrics and targets
57
Emirates NBD Group 2024 IFRS S1 and S2 Report",2534
58,"Metric
Metric Definition
2024 Value
Source
Source Emirates NBD
Mapping to Report Section
(1) Number of data breaches, 
(2) percentage involving 
personally, identifiable 
information (“PII”), (3) number 
of account holders affected
This metric measure number of data breaches in Emirates NBD 
and any impact on customers
0
SASB
ESG report
Risk
Sustainable Finance Targets
Sustainable financing including transition financing
USD 30 billion by 2030
GRI
ESG Momentum 
Report
Strategy
Mandatory ESG trainings
Training required for all employees 
Mandatory ESG training to all employees
GRI
ESG report
Governance
Whistleblower policy
Description of whistleblower policies and procedures
Emirates NBD has implemented a Whistleblower Policy to allow our 
stakeholders to report any suspected misconduct or breaches of 
our ethical commitments in good faith. All Emirates NBD employees 
undergo annual training and sign off the Whistleblower Policies and 
Code of Ethics. The following channels are available for reporting 
suspicious behaviour: 
• A 24/7 fraud hotline or voicemail facility at 800 FRAUD (37283),
• An email address whistleblower@emiratesnbd.com.
 • A telephone line direct to the Head of Fraud Prevention and 
Investigation 
Internal
Corporate 
Governance 
Report
Governance
Monetary losses
Total amount of monetary losses as a result of legal 
proceedings associated with fraud, insider trading, antitrust, 
anti- competitive behaviour, market manipulation, malpractice, 
or other related financial industry laws or regulations
0
SASB
ESG report
Risk
Diversity and Inclusion
Per centage of (1) gender and (2) diversity group representation 
for (a) executive management, (b) non-executive management, 
(c) professionals and (d) all other employees
Total Workforce: Women: 40% Men: 60%
Top Management: Women 18% Men 82%, 
Junior Management: Women 35% Men 65%,
 All management: Women 32% Men 68%
SASB
ESG report
Governance
Amount of assets under 
management, by asset class
Amount of assets under management, by asset class, that 
employ (1) integration of environmental, social and governance 
(ESG) issues, (2) sustainability themed investing and (3) 
screening
The Group does not engage in sustainability themed investing nor do we 
do screening
See the next cell for a breakdown of the approach.
SASB
SASB
Strategy
Metrics and targets
58
Emirates NBD Group 2024 IFRS S1 and S2 Report",2397
59,"Metric
Metric Definition
2024 Value
Source
Source Emirates NBD
Mapping to Report Section
Incorporation of 
environmental, social and 
governance (ESG) factors 
in investment or wealth 
management processes
Description of approach to incorporation of environmental, 
social and governance (ESG) factors in investment or wealth 
management processes and strategies
When making investment decisions, ESG factors are analysed and 
interpreted by considering the impact of the company’s actions and 
policies on the environment, society, as well as corporate governance. 
Emirates NBD AM evaluates the company’s performance through areas 
such as carbon emissions, waste management, employee relations, 
board diversity in addition to executive compensation. Emirates NBD 
AM gathers ESG data and analysis from multiple third-party sources 
such as Sustainalytics, Bloomberg, corporate disclosures, rating 
agencies as well as any sell-side publications. Emirates NBD AM then 
establish a “starting point” using evolving frameworks for sovereigns 
and non-sovereigns as well as top three engagement objectives across 
Environmental, Social, and Governance pillars. Through those pillars, 
Emirates NBD AM understand how ESG factors could potentially affect 
a company’s long-term financial performance, reputation, as well as 
its overall sustainability. These factors in turn are beneficial to provide 
insight into the company’s ability to manage risks and its creation of 
long-term value for its shareholders.
SASB
SASB
Strategy
Proxy Voting
Description of proxy voting and investee engagement policies 
and procedures
As of 2024, the Group has drafted a Proxy Voting policy, the act of 
proxy voting itself however is a work in progress. The Group is currently 
engaging with a proxy voting service provider and is aiming to implement 
proxy voting by early 2025.
SASB
SASB
Governance
Data security risks
Description of approach to identifying and addressing data 
security risks
Emirates NBD Group follows a structured risk management process that 
includes regular assessments, classification of data based on sensitivity, 
and implementation of robust security controls such as encryption, 
access management, and monitoring. We ensure compliance with 
regulatory requirements across jurisdictions and conduct periodic 
audits to validate our controls. Additionally, we foster a strong security 
culture through awareness programs and targeted training to minimize 
human-related risks. This comprehensive approach helps us proactively 
identify, mitigate, and manage data security risks
SASB
ESG report
Risk
Financial literacy
Number of participants in financial literacy initiatives for 
unbanked, underbanked, or underserved customers 
73 Financial Literacy blue collar attendees 
SASB
ESG Data Package
Strategy
Metrics and targets
59
Emirates NBD Group 2024 IFRS S1 and S2 Report",2886
60,"Metric
Metric Definition
2024 Value
Source
Source Emirates NBD
Mapping to Report Section
Credit analysis
Description of approach to incorporation of environmental, 
social and governance (ESG) factors in credit analysis
Group Credit has initiated a process to ensure that ESR scorecard 
questionnaires are submitted along with Credit proposals by Bu. 
High risk sectors are avoided or commented on in executive summaries 
submitted to credit committees and further refinement of this process is 
planned for 2025.
SASB
SASB
Strategy
Stress tests
Description of approach to integrate results of mandatory and 
voluntary stress tests long-term into capital adequacy planning, 
corporate strategy and other business activities
The Group has annual exercises in terms of voluntary (ICAAP) and 
regulatory (CBUAE Stress Test) stress test. For December 2023, the 
Group has completed the ICAAP and CBUAE Stress Test for the period 
of three years forecast horizon under Baseline and Stress scenario. For 
ICAAP, the Group use Moody’s Analytics sourced scenarios and for 
CBUAE Stress Test, the Group uses the CBUAE provided Base and Stress 
Scenario. 
As part of this exercise, the Group prepare results from Capital 
Adequacy perspective and performs liquidity stress.
Group risk shares the quarterly high level ICAAP capital ratio with Finance 
and in the budget presentation to the Board, this result was added in 
Capital projection slides.
SASB
SASB
Strategy/ Risk
ESG in Investment Banking
Number of mediation and arbitration cases associated with 
professional integrity, including duty of care, by party
0
SASB
SASB
Governance
ESG in Investment Banking
Total amount of monetary losses as a result of legal 
proceedings associated with professional integrity, including 
duty of care
0
SASB
SASB
Governance
ESG in Investment Banking
Description of approach to ensuring professional integrity, 
including duty of care
1. 
Monthly meetings/visit to the law firms.
2. 
Ensuring that the appointed law firm has no conflict of interest 
with the defendant. 
3. 
Monitoring the performance of the law firm through the court’s 
site.
SASB
SASB
Governance
ESG in Investment Banking
Per centage of variable remuneration of Material Risk Takers 
(MRTs) to which malus or clawback provisions were applied
On the malus/clawback point, the Group’s policy provides all variable 
remuneration may be subject to malus / clawback, although there have 
been no instances where the group has had to operate malus/clawback 
in practice.
SASB
SASB
Governance
Metrics and targets
60
Emirates NBD Group 2024 IFRS S1 and S2 Report",2607
61,"Metric
Metric Definition
2024 Value
Source
Source Emirates NBD
Mapping to Report Section
ESG in Commercial Banking
Transition Risk
(1) Gross exposure to carbon-related industries, by industry, 
(2) total gross exposure to all industries, and
(3) per centage of total gross exposure for each carbon-related 
industry
(1) and (3) Industry Exposure (AED million) and coverage
Telecommunication : 19,272 (4.33%)
Transportation : 17,270 (3.88%)
Utilities: 13,747 (3.09%)
Construction: 8,987 (2.02%)
Oil and Gas: 5,209 (1.17%)
Manufacturing: 4,209 (0.95%)
Mining and Quarrying: 1,631 (0.37%)
Total: 70,325 (15.80%)Δ
(2) Loan and Debt exposure (excluding DenizBank): AED 445,101 million 
SASB
SASB
Climate-related Metrics
ESG in Commercial Banking
Transition Risk
Per centage of gross exposure included in the financed 
emissions calculation
15.80 %
Δ
SASB
TCFD
Climate-related Metrics
ESG in Commercial Banking
Transition Risk
For each industry by asset class:
(1) absolute gross (a) Scope 1 emissions,
(b) Scope 2 emissions, c) Scope 3 emissions and (2) gross 
exposure (i.e., financed emissions)
Industry
Exposure
(AED mn)
Total Emissions
(tCO2e)
Financed Emissions
(tCO2e)
Telecommunication
19,272 
4,935,051 
167,930 
Transportation
17,270 
70,742,213 
2,848,112 
Utilities
13,747 
408,922,361 
2,005,571 
Construction
8,987 
21,059,835 
380,468 
Oil and Gas
5,209 
369,810,841 
2,307,907 
Manufacturing
4,209 
83,948,847 
3,088,750 
Mining and Quarrying
1,631 
365,214,284 
617,123 
Total
70,325 
1,324,633,432 
11,415,861 Δ
SASB
TCFD
Climate-related Metrics
ESG in Commercial Banking
Transition Risk Description of the methodology used to 
calculate financed emissions
The Financed Emissions Methodology is available on the Emirates NBD’s 
corporate website
SASB
TCFD
Climate-related Metrics
ESG in Asset Management 
and Custody Activities 
Absolute gross financed emissions, disaggregated by Scope 1, 
Scope 2 and Scope 3 GHG emissions.
Not Included for 2024
SASB
SASB
Climate-related Metrics
ESG in Asset Management 
and Custody Activities 
the total amount of assets under management (AUM) included 
in the entity’s financed emissions disclosures
Not Included for 2024
SASB
SASB
Climate-related Metrics
ESG in Asset Management 
and Custody Activities 
The per centage of the entity’s total AUM included in the 
financed emissions calculation.
Not Included for 2024
SASB
SASB
Climate-related Metrics
ESG in Asset Management 
and Custody Activities 
Description of Methodology used to calculate financed 
Emissions
The Financed Emissions Methodology is available on the Emirates NBD’s 
corporate website
SASB
SASB
Climate-related Metrics
Metrics and targets
Δ Emirates NBD appointed KPMG Lower Gulf to perform limited independent assurance over selected ESG content, marked with the symbol Δ. 
The assurance engagement was planned and performed in accordance with the International Standard on Assurance Engagements 3000 “Assurance Engagements Other Than Audits or Reviews of Historical Financial Information” and the International 
Standard on Assurance Engagements 3410 “Assurance of Greenhouse Gas Statements”. A limited assurance opinion was issued and is available at our website. This includes details of the scope, reporting 
criteria, respective responsibilities, work performed, limitations and conclusion. No other information in this 2024 ISSB Report has been subject to this external limited assurance.
61
Emirates NBD Group 2024 IFRS S1 and S2 Report",3464
62,"5.3 Managing our exposure towards financed emissions
Emirates NBD Group is measuring the carbon footprint 
of its customers and financial assets as part of its 
accounting practices. To achieve this, the Group is 
implementing the Partnership for Carbon Accounting 
Financials (PCAF) framework. The goal of this 
programme is to measure financed emissions across 
the Group’s portfolio (excl. DenizBank) allowing Emirates 
NBD to baseline financed emissions for on-going 
monitoring. This will help in defining targeted mitigation 
plans and assessing the quality of the available data for 
these calculations. 
Emirates NBD’s financed emissions measurement 
focuses on Scope 3 Category 15 emissions, as outlined 
by PCAF, covering asset classes such as listed equity, 
corporate bonds, business loans, unlisted equity, and 
project finance. To identify the sectors included in this 
analysis, the Group has followed the following criteria for 
inclusion of sectors for baselining financed emissions:
• 
Hard to abate sectors or sectors which are emissions 
intensive
• 
Sectors considered material by the Group with focus 
on customer exposures greater than AED 10 million 
(The total portfolio value with exposure less than AED 
10 million amounts to 0.57% of the portfolio)
• 
Sectors where appropriate and relevant data and 
methodology is available to baseline financed 
emissions.
The focus of this analysis is to ensure sectors that have a 
high impact on the climate system and greatest potential 
to effect change are covered.
The organisational boundary is determined by the 
financial control approach for the measurement and 
reporting of financed emissions in accordance with 
the GHG protocol. Under this approach, the Group and 
its subsidiaries, excluding DenizBank) would include 
emissions from entities where it can directly influence 
financial and operational policies and has the potential 
to benefit economically from companies’ activities. The 
assurance provider is providing the assurance services 
for Emirates NBD, including branches and subsidiaries as 
specified in their assurance report.
The scope of our assessment encompasses the 
following dimensions:
• 
Asset class coverage (listed equity and corporate 
bonds, business loans and unlisted equity and 
project finance)
• 
Organisational boundaries
• 
Emissions coverage
To compute enterprise value, the Group has followed 
the PCAF guidelines, which involves summing the market 
capitalisation of ordinary and preferred shares, the 
book values of debt, and minority interests. The share 
price used for market cap calculations is based on the 
end-of-period price relevant to the financial reporting 
period. Where a listed company has illiquid instruments 
affecting price discovery, we use book values to 
calculate enterprise value, ensuring that market illiquidity 
does not distort the attribution factor and the resulting 
financed emissions.
The formulas used to calculate the emissions have been 
included in at the end of this section under “Calculation 
Approach”.
For unlisted companies, total equity is determined by 
summing share capital and reserves. If accumulated 
losses render share capital negative, total equity is set to 
zero.
For the computation of financed emissions, exposures 
as at 31 December 2023 have been considered.
In the absence of regulations requiring emissions 
disclosure, the calculation of financed emissions is 
performed on a best-effort basis. These computed 
Based on the above 
criteria, the Group has a 
total portfolio of 
AED 70.33 billion which 
have been scoped for 
the computation of 
financed emissions as 
at 31 December 2023 
which stands at 11,415,861 
(tCO2e) Δ. The total 
portfolio (including the 
portfolios removed 
as part of the scoping 
exercise) amount to 
AED 483.56 billion . 
and reported emissions may be influenced by evolving 
regulations, changes in data quality, or updates in 
calculation methodologies. Since Emirates NBD relies 
on enterprise value for these calculations, significant 
variations in reported financed emissions can occur 
due to fluctuations in market prices, making year-on-
year comparisons challenging. As a result, internal 
calculations may need to be revised in light of new 
methodologies, regulations, improved data quality, or 
other factors affecting the alignment scoring. 
By acknowledging and proactively addressing these 
challenges, the Group aims to improve the accuracy, 
reliability, and transparency of its greenhouse gas 
emissions reporting, reinforcing its commitment to 
sustainability and climate action. Financed Emissions 
calculations are performed by the Enterprise Risk 
Management team and are approved and monitored by 
the Group Head of Enterprise and Regulatory Risk. The 
data and analytics capabilities are enhanced to ensure 
processes, systems, controls, and governance are in 
place. Additionally, the Group is working on automating 
processes, particularly focusing on measuring climate 
transition risk.
The Group has applied the following exclusions to 
identify the right population for calculation and reporting 
of the FE Emissions:
• 
Defaulted Accounts as at 31 December 2023
• 
Accounts with no exposures
• 
Companies operating across multiple sectors and 
holding companies due to lack of disclosures at a 
sector or company level
• 
Companies which have been funded but are not yet 
operational
Δ
 
Emirates NBD appointed KPMG Lower Gulf to perform limited independent assurance over 
selected ESG content, marked with the symbol Δ. 
The assurance engagement was planned and performed in accordance with the International 
Standard on Assurance Engagements 3000 “Assurance Engagements Other Than Audits 
or Reviews of Historical Financial Information” and the International Standard on Assurance 
Engagements 3410 “Assurance of Greenhouse Gas Statements”. A limited assurance opinion 
was issued and is available at our website. This includes details of the scope, reporting 
criteria, respective responsibilities, work performed, limitations and conclusion. No other 
information in this 2024 ISSB Report has been subject to this external limited assurance.
The Group has adopted a principle-based approach to the 
disclosure of financed emissions. At this stage, the Group 
has chosen to report financed emissions as an absolute 
number rather than disaggregating emissions across “Scope 
1+ Scope 2”, and Scope 3 categories. This approach reflects 
current data quality and availability limitations. As the Group 
continues to enhance data collection processes and improve 
data quality, more granular disclosures, i.e. a breakdown of 
financed emissions by scope may be disclosed in the future. 
The detailed methodology is available on our corporate 
website on the document, ‘Emirates NBD Financed 
Emissions Basis of Reporting 2024’.
Metrics and targets
62
Emirates NBD Group 2024 IFRS S1 and S2 Report",6940
